,Date,Open,High,Low,Close,Adj.Close,Volume,Rate,Variance
109,3/23/2020,2198.25,2384.25,2174.5,2254.75,2254.75,1042420481,-2.570226316,0.095416809
110,3/24/2020,2281.25,2470,2275.25,2421.5,2421.5,811587901,-6.147945205,0.085369863
111,3/25/2020,2406,2560.75,2386,2466.25,2466.25,1008036031,-2.504156276,0.072630923
112,3/26/2020,2454.5,2629,2402.25,2625.75,2625.75,773148858,-6.976981055,0.09238134
113,3/27/2020,2577.5,2605,2505.25,2520,2520,727579677,2.230843841,0.038700291
114,3/29/2020,2459,2498.25,2445,2489,2489,6659472,-1.220008133,0.021655144
115,3/30/2020,2513.75,2624.5,2495,2615.25,2615.25,659157598,-4.037792143,0.051516658
116,3/31/2020,2616.5,2635.75,2536.5,2540.5,2540.5,642583856,2.904643608,0.037932352
117,4/1/2020,2527.75,2528.5,2434.25,2469,2469,683036593,2.324201365,0.037286124
118,4/2/2020,2482,2525,2424.75,2504,2504,693697507,-0.88638195,0.040390814
119,4/3/2020,2491.25,2529.5,2449,2480.25,2480.25,541247437,0.441545409,0.032313096
120,4/5/2020,NA,NA,NA,NA,NA,NA,NA,NA
121,4/6/2020,2566.5,2668.5,2562.75,2658,2658,657204558,-3.565166569,0.041203974
122,4/7/2020,2645.5,2750,2623.5,2644.5,2644.5,2424771,0.037800038,0.047817048
123,4/8/2020,2645.75,2752.25,2627.25,2748.25,2748.25,622342295,-3.874137768,0.047245583
124,4/9/2020,2734,2809.5,2701,2787,2787,795403080,-1.938551573,0.039685443
